timestamp,exg1,exg2,srate
0,-16538.59,-19921.54,512
0.001953125,-16547.78,-19928.04,512
0.00390625,-16531.09,-19916.05,512
0.005859375,-16533.72,-19920.86,512
0.0078125,-16536.46,-19924.79,512
0.009765625,-16531.12,-19923.58,512
0.01171875,-16541.4,-19934.71,512
0.01367188,-16537.19,-19930.34,512
0.015625,-16530.65,-19930.62,512
0.01757812,-16533.67,-19933.96,512
0.01953125,-16531.27,-19932.53,512
0.02148438,-16523.82,-19919.77,512
0.0234375,-16527.39,-19927.33,512
0.02539062,-16524.19,-19924.22,512
0.02734375,-16522.45,-19923.14,512
0.02929688,-16528.69,-19932.6,512
0.03125,-16519.62,-19922.63,512
0.03320312,-16517.87,-19918.39,512
0.03515625,-16525.21,-19923.66,512
0.03710938,-16527.88,-19923.97,512
0.0390625,-16526.59,-19930.44,512
0.04101562,-16525.57,-19940.62,512
0.04296875,-16524.95,-19941.08,512
0.04492188,-16521.55,-19939.83,512
0.046875,-16524.31,-19944.98,512
0.04882812,-16517.58,-19933.32,512
0.05078125,-16523.7,-19939.35,512
0.05273438,-16535.84,-19953.4,512
0.0546875,-16521.78,-19942.37,512
0.05664062,-16514.76,-19938.85,512
0.05859375,-16521.47,-19949.04,512
0.06054688,-16514.6,-19948.44,512
0.0625,-16514.55,-19948.69,512
0.06445312,-16505.82,-19939.37,512
0.06640625,-16508.55,-19942.2,512
0.06835938,-16519.29,-19952.44,512
0.0703125,-16517.61,-19959.54,512
0.07226562,-16505.27,-19954.09,512
0.07421875,-16493.47,-19944.78,512
0.07617188,-16501.94,-19950.61,512
0.078125,-16497.64,-19946.51,512
0.08007812,-16494.5,-19934.18,512
0.08203125,-16508.69,-19933.09,512
0.08398438,-16509.42,-19915.67,512
0.0859375,-16497.84,-19891.71,512
0.08789062,-16496.42,-19889.89,512
0.08984375,-16506.01,-19893.59,512
0.09179688,-16498.84,-19880.66,512
0.09375,-16491.05,-19877.32,512
0.09570312,-16497.34,-19881.87,512
0.09765625,-16498.7,-19867.33,512
0.09960938,-16517.2,-19870.98,512
0.1015625,-16527.09,-19867.67,512
0.1035156,-16515.65,-19841.03,512
0.1054688,-16521.53,-19830.46,512
0.1074219,-16530.61,-19843.92,512
0.109375,-16528.93,-19826.85,512
0.1113281,-16535.54,-19832.39,512
0.1132812,-16530.08,-19825.82,512
0.1152344,-16528.91,-19813.85,512
0.1171875,-16548.12,-19834.63,512
0.1191406,-16532.62,-19817.03,512
0.1210938,-16524.95,-19808.32,512
0.1230469,-16531.85,-19820.18,512
0.125,-16537.81,-19821.65,512
0.1269531,-16524.5,-19811.58,512
0.1289062,-16514.79,-19799.03,512
0.1308594,-16517.41,-19799.75,512
0.1328125,-16520.67,-19796.46,512
0.1347656,-16530.76,-19796.67,512
0.1367188,-16536.69,-19793.82,512
0.1386719,-16541.4,-19792.35,512
0.140625,-16537.13,-19792.94,512
0.1425781,-16538.96,-19791.9,512
0.1445312,-16532.66,-19783.45,512
0.1464844,-16529.86,-19779.07,512
0.1484375,-16539.87,-19780.51,512
0.1503906,-16531.06,-19772.47,512
0.1523438,-16538.82,-19769.5,512
0.1542969,-16539.22,-19768.26,512
0.15625,-16540.81,-19774.68,512
0.1582031,-16532.03,-19769.28,512
0.1601562,-16535.37,-19772.36,512
