timestamp,exg1,exg2,srate
0,6199.943,-7246.649,512
0.001953125,6201.183,-7241.153,512
0.00390625,6178.178,-7262.483,512
0.005859375,6185.298,-7255.783,512
0.0078125,6187.204,-7246.823,512
0.009765625,6190.688,-7250.373,512
0.01171875,6199.358,-7241.337,512
0.01367188,6193.888,-7241.832,512
0.015625,6180.039,-7245.257,512
0.01757812,6164.88,-7255.225,512
0.01953125,6162.3,-7250.576,512
0.02148438,6154.711,-7252.599,512
0.0234375,6156.666,-7247.659,512
0.02539062,6150.117,-7253.597,512
0.02734375,6148.139,-7251.868,512
0.02929688,6161.232,-7234.349,512
0.03125,6149.97,-7239.979,512
0.03320312,6140.237,-7240.66,512
0.03515625,6145.413,-7231.65,512
0.03710938,6136.559,-7236.507,512
0.0390625,6123.697,-7242.072,512
0.04101562,6123.237,-7239.055,512
0.04296875,6133.681,-7227.074,512
0.04492188,6127.635,-7229.085,512
0.046875,6122.604,-7235.703,512
0.04882812,6121.669,-7236.796,512
0.05078125,6115.301,-7242.349,512
0.05273438,6115.596,-7238.514,512
0.0546875,6121.736,-7232.455,512
0.05664062,6113.631,-7240.686,512
0.05859375,6096.3,-7260.493,512
0.06054688,6114.023,-7241.082,512
0.0625,6114.712,-7236.188,512
0.06445312,6105.71,-7244.749,512
0.06640625,6112.418,-7243.209,512
0.06835938,6116.809,-7234.497,512
0.0703125,6123.684,-7224.291,512
0.07226562,6111.016,-7233.498,512
0.07421875,6108.423,-7231.65,512
0.07617188,6096.854,-7248.593,512
0.078125,6103.06,-7246.074,512
0.08007812,6101.693,-7240.175,512
0.08203125,6102.368,-7240.499,512
0.08398438,6123.647,-7217.051,512
0.0859375,6116.931,-7221.003,512
0.08789062,6112.29,-7229.161,512
0.08984375,6106.95,-7226.703,512
0.09179688,6101.897,-7230.939,512
0.09375,6105.717,-7226.431,512
0.09570312,6103.497,-7226.237,512
0.09765625,6102.543,-7224.938,512
0.09960938,6097.189,-7231.966,512
0.1015625,6097.174,-7231.127,512
0.1035156,6093.313,-7232.408,512
0.1054688,6108.174,-7215.391,512
0.1074219,6098.389,-7230.431,512
0.109375,6107.411,-7222.744,512
0.1113281,6122.578,-7210.735,512
0.1132812,6102.319,-7225.949,512
0.1152344,6115.566,-7218.317,512
0.1171875,6127.869,-7211.861,512
0.1191406,6123.695,-7211.069,512
0.1210938,6131.152,-7201.115,512
0.1230469,6112.514,-7217.45,512
0.125,6108.582,-7225.463,512
0.1269531,6115.37,-7218.583,512
0.1289062,6127.179,-7212.046,512
0.1308594,6120.917,-7216.962,512
0.1328125,6105.579,-7233.068,512
0.1347656,6113.267,-7222.211,512
0.1367188,6111.578,-7222.177,512
0.1386719,6105.861,-7233.014,512
0.140625,6113.929,-7223.587,512
0.1425781,6118.834,-7224.903,512
0.1445312,6106.582,-7234.446,512
0.1464844,6122.772,-7216.702,512
0.1484375,6127.558,-7217.323,512
0.1503906,6110.934,-7225.877,512
0.1523438,6109.853,-7224.865,512
0.1542969,6118.144,-7212.335,512
0.15625,6108.606,-7217.901,512
0.1582031,6113.131,-7216.666,512
0.1601562,6103.239,-7230.277,512
0.1621094,6103.27,-7233.808,512
0.1640625,6102.207,-7233.169,512
0.1660156,6116.015,-7217.59,512
0.1679688,6113.14,-7221.196,512
0.1699219,6121.138,-7216.574,512
0.171875,6124.513,-7212.004,512
0.1738281,6118.226,-7215.7,512
0.1757812,6116.505,-7218.522,512
0.1777344,6120.294,-7218.032,512
0.1796875,6128.274,-7211.8,512
0.1816406,6125.212,-7214.471,512
0.1835938,6119.662,-7215.102,512
0.1855469,6123.702,-7209.641,512
0.1875,6132.357,-7201.459,512
0.1894531,6128.672,-7203.903,512
0.1914062,6127.695,-7210.306,512
0.1933594,6133.904,-7208.248,512
0.1953125,6116.241,-7217.748,512
0.1972656,6118.715,-7214.353,512
0.1992188,6121.614,-7210.657,512
0.2011719,6126.227,-7205.352,512
0.203125,6125.577,-7205.349,512
0.2050781,6119.679,-7211.686,512
0.2070312,6123.924,-7208.425,512
0.2089844,6122.195,-7217.897,512
0.2109375,6113.213,-7223.708,512
0.2128906,6126.774,-7209.238,512
0.2148438,6130.267,-7204.722,512
0.2167969,6120.282,-7214.458,512
0.21875,6120.497,-7216.956,512
0.2207031,6114.592,-7223.642,512
0.2226562,6130.884,-7212.466,512
0.2246094,6123.714,-7221.854,512
0.2265625,6121.598,-7224.656,512
0.2285156,6118.229,-7225.87,512
0.2304688,6122.901,-7222.821,512
0.2324219,6126.524,-7220.987,512
0.234375,6129.386,-7216.438,512
0.2363281,6119.625,-7221.625,512
0.2382812,6122.45,-7214.23,512
0.2402344,6119.125,-7224.253,512
0.2421875,6122.881,-7222.293,512
0.2441406,6120.975,-7218.099,512
0.2460938,6118.262,-7224.194,512
0.2480469,6124.405,-7216.118,512
0.25,6116.526,-7220.73,512
0.2519531,6128.702,-7205.557,512
0.2539062,6127.142,-7212.896,512
0.2558594,6106.639,-7228.782,512
0.2578125,6113.064,-7218.617,512
0.2597656,6115.914,-7215.265,512
0.2617188,6119.473,-7214.125,512
0.2636719,6128.887,-7206.535,512
0.265625,6112.717,-7224.627,512
0.2675781,6118.335,-7217.468,512
0.2695312,6116.364,-7212.443,512
0.2714844,6119.478,-7210.301,512
0.2734375,6122.019,-7210.191,512
0.2753906,6115.768,-7212.962,512
0.2773438,6122.553,-7210.382,512
0.2792969,6111.598,-7221.939,512
0.28125,6123.412,-7211.527,512
0.2832031,6112.981,-7218.797,512
0.2851562,6114.277,-7211.467,512
0.2871094,6110.065,-7216.66,512
0.2890625,6111.074,-7216.69,512
0.2910156,6106.928,-7219.691,512
0.2929688,6107.52,-7220.994,512
0.2949219,6098.895,-7228.486,512
0.296875,6109.206,-7215.138,512
0.2988281,6120.96,-7203.759,512
0.3007812,6105.065,-7215.639,512
0.3027344,6099.833,-7216.654,512
0.3046875,6112.856,-7203.867,512
0.3066406,6105.302,-7206.792,512
0.3085938,6099.827,-7210.994,512
0.3105469,6103.17,-7211.438,512
0.3125,6103.596,-7211.724,512
0.3144531,6115.699,-7201.376,512
0.3164062,6104.343,-7209.757,512
0.3183594,6109.691,-7205.117,512
0.3203125,6119.798,-7193.229,512
0.3222656,6116.64,-7196.222,512
0.3242188,6116.155,-7200.461,512
0.3261719,6116.557,-7198.646,512
0.328125,6115.582,-7203.466,512
0.3300781,6121.299,-7195.901,512
0.3320312,6118.007,-7198.744,512
0.3339844,6116.72,-7196.792,512
0.3359375,6109.259,-7206.4,512
0.3378906,6115.299,-7201.731,512
0.3398438,6104.642,-7209.012,512
0.3417969,6109.518,-7206.847,512
0.34375,6106.389,-7207.267,512
0.3457031,6103.18,-7211.632,512
0.3476562,6124.345,-7194.879,512
0.3496094,6123.621,-7196.175,512
0.3515625,6105.38,-7211.343,512
0.3535156,6101.357,-7210.805,512
0.3554688,6107.5,-7209.073,512
0.3574219,6104.689,-7213.797,512
0.359375,6101.668,-7218.448,512
0.3613281,6104.603,-7218.129,512
0.3632812,6107.851,-7210.407,512
0.3652344,6103.069,-7217.622,512
0.3671875,6110.432,-7202.493,512
0.3691406,6114.404,-7183.278,512
0.3710938,6114.897,-7187.336,512
0.3730469,6108.655,-7205.769,512
0.375,6106.449,-7214.476,512
0.3769531,6113.284,-7204.031,512
0.3789062,6096.182,-7216.387,512
0.3808594,6110.541,-7206.179,512
0.3828125,6114.671,-7201.812,512
0.3847656,6102.598,-7206.17,512
0.3867188,6101.905,-7206.119,512
0.3886719,6103.681,-7209.093,512
0.390625,6112.008,-7200.603,512
0.3925781,6105.37,-7209.688,512
0.3945312,6103.054,-7208.55,512
0.3964844,6096.51,-7219.816,512
0.3984375,6098.565,-7209.631,512
0.4003906,6105.638,-7202.704,512
0.4023438,6103.647,-7200.329,512
0.4042969,6105.5,-7198.077,512
0.40625,6113.02,-7198.862,512
0.4082031,6110.496,-7201.057,512
0.4101562,6104.316,-7210.796,512
0.4121094,6106.309,-7209.79,512
0.4140625,6116.221,-7200.209,512
0.4160156,6121.884,-7195.476,512
0.4179688,6113.108,-7201.656,512
0.4199219,6103.951,-7210.344,512
0.421875,6113.177,-7205.629,512
0.4238281,6112.847,-7206.61,512
0.4257812,6114.917,-7205.629,512
0.4277344,6109.357,-7209.919,512
0.4296875,6118.773,-7199.566,512
0.4316406,6114.936,-7199.699,512
0.4335938,6112.445,-7200.206,512
