timestamp,exg1,exg2,srate
0,-16875.34,-17569.03,512
0.001953125,-16901.32,-17590.59,512
0.00390625,-16900.52,-17579.24,512
0.005859375,-16897.45,-17580.21,512
0.0078125,-16909.67,-17570.33,512
0.009765625,-16905.29,-17574.45,512
0.01171875,-16899.49,-17576.45,512
0.01367188,-16891.4,-17566.26,512
0.015625,-16899.42,-17588.33,512
0.01757812,-16914.94,-17593.55,512
0.01953125,-16900.54,-17580.51,512
0.02148438,-16900.22,-17592.4,512
0.0234375,-16903.99,-17581.41,512
0.02539062,-16905.71,-17586.68,512
0.02734375,-16895.63,-17585.98,512
0.02929688,-16907.02,-17591.24,512
0.03125,-16915.39,-17604.33,512
0.03320312,-16919.08,-17604.09,512
0.03515625,-16901.52,-17581.75,512
0.03710938,-16901.35,-17587.9,512
0.0390625,-16904.78,-17585.2,512
0.04101562,-16902.05,-17582.97,512
0.04296875,-16911.36,-17580.36,512
0.04492188,-16925.71,-17585.16,512
0.046875,-16901.28,-17583.59,512
0.04882812,-16882.12,-17559.76,512
0.05078125,-16890.23,-17556.45,512
0.05273438,-16906.68,-17595.4,512
0.0546875,-16918.5,-17605.77,512
0.05664062,-16909.2,-17581.95,512
0.05859375,-16915.51,-17589.89,512
0.06054688,-16901.68,-17577.87,512
0.0625,-16913.72,-17582.1,512
0.06445312,-16893.27,-17577.84,512
0.06640625,-16892.37,-17559.35,512
0.06835938,-16915.89,-17578.07,512
0.0703125,-16913.96,-17597.45,512
0.07226562,-16915.25,-17593.85,512
0.07421875,-16920.41,-17593.25,512
0.07617188,-16917.39,-17585.16,512
0.078125,-16927.86,-17605.94,512
0.08007812,-16897.64,-17582.39,512
0.08203125,-16884.41,-17571.29,512
0.08398438,-16885.97,-17569.68,512
0.0859375,-16894.64,-17576.32,512
0.08789062,-16896.82,-17570.79,512
0.08984375,-16903.51,-17577.86,512
0.09179688,-16918.38,-17599.8,512
0.09375,-16907.51,-17580.46,512
0.09570312,-16910.58,-17581.96,512
0.09765625,-16900.71,-17570.34,512
0.09960938,-16904.96,-17578.14,512
0.1015625,-16905.44,-17587.8,512
0.1035156,-16920.5,-17590.91,512
0.1054688,-16917.36,-17590.49,512
0.1074219,-16914.74,-17597.31,512
0.109375,-16909.6,-17603.08,512
0.1113281,-16902.98,-17595.07,512
0.1132812,-16885,-17579.6,512
0.1152344,-16874.77,-17582.75,512
0.1171875,-16870.8,-17582.96,512
0.1191406,-16874.87,-17579.45,512
0.1210938,-16870.9,-17583.89,512
0.1230469,-16901.19,-17613.24,512
0.125,-16903.41,-17610.11,512
0.1269531,-16894.36,-17608.08,512
0.1289062,-16872.44,-17588.34,512
0.1308594,-16878.83,-17601.97,512
0.1328125,-16881.06,-17600.64,512
0.1347656,-16885.67,-17592.76,512
0.1367188,-16876.83,-17576.06,512
0.1386719,-16905.09,-17595.58,512
0.140625,-16912.94,-17594.22,512
0.1425781,-16884.52,-17569.74,512
0.1445312,-16892.88,-17576.38,512
0.1464844,-16902.56,-17589.03,512
0.1484375,-16911.62,-17607.79,512
0.1503906,-16900.39,-17583.9,512
0.1523438,-16914,-17597.38,512
0.1542969,-16908.07,-17582.79,512
0.15625,-16920.67,-17591.47,512
0.1582031,-16912.22,-17579.28,512
0.1601562,-16910.81,-17574.9,512
0.1621094,-16930.4,-17605.29,512
0.1640625,-16950.76,-17621.85,512
0.1660156,-16928.93,-17615.48,512
0.1679688,-16928.41,-17609.69,512
0.1699219,-16930.96,-17611.26,512
0.171875,-16939.97,-17613.84,512
0.1738281,-16936.43,-17595.92,512
0.1757812,-16942.67,-17606.93,512
0.1777344,-16951.79,-17609.66,512
0.1796875,-16943.6,-17604.95,512
0.1816406,-16939.74,-17612.9,512
0.1835938,-16941.96,-17611.14,512
0.1855469,-16945.34,-17622.9,512
0.1875,-16953.27,-17617.91,512
0.1894531,-16951.59,-17624.16,512
0.1914062,-16951,-17630.71,512
0.1933594,-16928.32,-17606.22,512
0.1953125,-16931.3,-17612.8,512
0.1972656,-16919.12,-17610.99,512
0.1992188,-16928.25,-17615.39,512
0.2011719,-16941.56,-17624.55,512
0.203125,-16968.54,-17634.33,512
0.2050781,-16937.89,-17590.13,512
0.2070312,-16930.98,-17591.45,512
0.2089844,-16937.71,-17614.05,512
0.2109375,-16935.16,-17616.23,512
0.2128906,-16926.77,-17604.5,512
0.2148438,-16956.13,-17631.69,512
0.2167969,-16955.7,-17621.07,512
0.21875,-16962.19,-17627.38,512
0.2207031,-16973.07,-17627.79,512
0.2226562,-16973.07,-17610.49,512
0.2246094,-16946.59,-17588.31,512
0.2265625,-16929.97,-17584.67,512
0.2285156,-16931.65,-17613.37,512
0.2304688,-16945.14,-17631.64,512
0.2324219,-16947.06,-17651.05,512
0.234375,-16925.5,-17610.9,512
0.2363281,-16960.87,-17626.54,512
0.2382812,-16977.3,-17640.21,512
0.2402344,-16978.94,-17644.04,512
0.2421875,-17000.84,-17653.32,512
0.2441406,-16989,-17660.01,512
0.2460938,-16963.21,-17642.99,512
0.2480469,-16977.68,-17642.6,512
0.25,-16969.49,-17621.87,512
0.2519531,-16991.96,-17656.72,512
0.2539062,-16968.25,-17664.23,512
0.2558594,-16917.81,-17610.67,512
0.2578125,-16947.63,-17634.81,512
0.2597656,-16985.96,-17648.97,512
0.2617188,-16956.25,-17632.74,512
0.2636719,-16969.25,-17641.53,512
0.265625,-16972.61,-17648.05,512
0.2675781,-16942.47,-17637.9,512
0.2695312,-16942.04,-17643.66,512
0.2714844,-16925.8,-17625.73,512
0.2734375,-16920.13,-17620.42,512
0.2753906,-16908.74,-17620.73,512
0.2773438,-16883.71,-17605.66,512
