timestamp,exg1,exg2,srate
0,-16566.07,-20865.58,512
0.001953125,-16563.08,-20847.23,512
0.00390625,-16564.82,-20857.74,512
0.005859375,-16550.09,-20831.9,512
0.0078125,-16515.53,-20810.68,512
0.009765625,-16552.53,-20847.95,512
0.01171875,-16588.88,-20862.18,512
0.01367188,-16581.72,-20864.03,512
0.015625,-16570.02,-20879.65,512
0.01757812,-16572.93,-20885.74,512
0.01953125,-16562.75,-20870.34,512
0.02148438,-16549.1,-20846.88,512
0.0234375,-16572.55,-20871.79,512
0.02539062,-16594.4,-20907.45,512
0.02734375,-16576.05,-20882.95,512
0.02929688,-16568.7,-20848.85,512
0.03125,-16569.84,-20880.77,512
0.03320312,-16556.85,-20863.19,512
0.03515625,-16570.4,-20886.94,512
0.03710938,-16575.52,-20890.27,512
0.0390625,-16576.68,-20876.7,512
0.04101562,-16556.48,-20882.06,512
0.04296875,-16526.89,-20860.64,512
0.04492188,-16516.75,-20867.46,512
0.046875,-16565.55,-20874.65,512
0.04882812,-16561.16,-20874.26,512
0.05078125,-16544.59,-20878.66,512
0.05273438,-16524.22,-20867.68,512
0.0546875,-16554.11,-20878.38,512
0.05664062,-16547.07,-20861.73,512
0.05859375,-16474.58,-20828.73,512
0.06054688,-16527.33,-20846.2,512
0.0625,-16560.79,-20854.88,512
0.06445312,-16542.62,-20842.08,512
0.06640625,-16571.75,-20881.55,512
0.06835938,-16571.62,-20884.5,512
0.0703125,-16580.48,-20883.39,512
0.07226562,-16556.46,-20871.56,512
0.07421875,-16567.08,-20861.83,512
0.07617188,-16564.19,-20843.66,512
0.078125,-16548.53,-20837.94,512
0.08007812,-16571.88,-20869.96,512
0.08203125,-16598.8,-20880.55,512
0.08398438,-16568.87,-20846.98,512
0.0859375,-16577.33,-20852.32,512
0.08789062,-16588.31,-20874.22,512
0.08984375,-16594.45,-20874.34,512
0.09179688,-16573.45,-20830.54,512
0.09375,-16591.88,-20903.12,512
0.09570312,-16617.49,-20873.01,512
0.09765625,-16600.61,-20885.66,512
0.09960938,-16584.23,-20884.65,512
0.1015625,-16585.07,-20880.2,512
0.1035156,-16561.65,-20872.14,512
0.1054688,-16575.29,-20871.61,512
0.1074219,-16570.62,-20854.95,512
0.109375,-16579.26,-20897.57,512
0.1113281,-16567.24,-20862.12,512
0.1132812,-16595.53,-20864.58,512
0.1152344,-16589.07,-20869.08,512
0.1171875,-16575.74,-20880.66,512
0.1191406,-16564.02,-20870.13,512
0.1210938,-16561.11,-20866.14,512
0.1230469,-16580.96,-20889.8,512
0.125,-16587.98,-20853.93,512
0.1269531,-16572.09,-20863.94,512
0.1289062,-16584.14,-20877.27,512
0.1308594,-16551.92,-20806.36,512
0.1328125,-16584.65,-20860.72,512
0.1347656,-16577.11,-20876.26,512
0.1367188,-16551.05,-20858.45,512
0.1386719,-16562.56,-20879.45,512
0.140625,-16527.28,-20847.26,512
0.1425781,-16584.09,-20859.86,512
0.1445312,-16615.36,-20868.53,512
0.1464844,-16604.01,-20881.95,512
0.1484375,-16582.01,-20873.67,512
