timestamp,exg1,exg2,srate
0,-6476.286,-12159.24,512
0.001953125,-6467.767,-12151.26,512
0.00390625,-6474.493,-12150.03,512
0.005859375,-6473.404,-12153.49,512
0.0078125,-6461.806,-12151.97,512
0.009765625,-6462.639,-12145.15,512
0.01171875,-6457.858,-12159.32,512
0.01367188,-6440.337,-12163.29,512
0.015625,-6446.109,-12189.62,512
0.01757812,-6448.918,-12190.47,512
0.01953125,-6467.026,-12199.42,512
0.02148438,-6473.602,-12156.66,512
0.0234375,-6461.995,-12126.27,512
0.02539062,-6463.841,-12151.26,512
0.02734375,-6444.143,-12143.66,512
0.02929688,-6454.06,-12175.65,512
0.03125,-6450.161,-12165.63,512
0.03320312,-6428.996,-12145.22,512
0.03515625,-6430.439,-12151.79,512
0.03710938,-6440.341,-12165.9,512
0.0390625,-6432.037,-12166.95,512
0.04101562,-6435.556,-12175.15,512
0.04296875,-6427.435,-12175.74,512
0.04492188,-6419.249,-12168.2,512
0.046875,-6418.36,-12165.69,512
0.04882812,-6412.377,-12159.05,512
0.05078125,-6400.267,-12159.76,512
0.05273438,-6407.196,-12175.61,512
0.0546875,-6398.205,-12177.39,512
0.05664062,-6409.344,-12191.86,512
0.05859375,-6390.082,-12183.83,512
0.06054688,-6398.124,-12183.22,512
0.0625,-6394.352,-12168.79,512
0.06445312,-6377.378,-12158.24,512
0.06640625,-6381.285,-12166.73,512
0.06835938,-6378.147,-12172.11,512
0.0703125,-6370.917,-12178.29,512
0.07226562,-6361.962,-12179.06,512
0.07421875,-6365.335,-12193.37,512
0.07617188,-6361.881,-12187.9,512
0.078125,-6364.894,-12177.07,512
0.08007812,-6361.209,-12159.09,512
0.08203125,-6370.262,-12161.96,512
0.08398438,-6365.383,-12157.41,512
0.0859375,-6373.149,-12165.69,512
0.08789062,-6364.697,-12176.99,512
0.08984375,-6375.436,-12181.8,512
0.09179688,-6373.357,-12178.02,512
0.09375,-6363.291,-12157.03,512
0.09570312,-6371.002,-12165.48,512
0.09765625,-6375.57,-12174.92,512
0.09960938,-6362.362,-12166.91,512
0.1015625,-6376.711,-12202.75,512
0.1035156,-6372.693,-12187.5,512
0.1054688,-6376.375,-12188.85,512
0.1074219,-6397.627,-12180.1,512
0.109375,-6404.738,-12147.15,512
0.1113281,-6409.338,-12159.98,512
0.1132812,-6416.679,-12149.05,512
0.1152344,-6413.345,-12136.88,512
0.1171875,-6426.516,-12141.5,512
0.1191406,-6435.632,-12146.68,512
0.1210938,-6436.806,-12155.94,512
0.1230469,-6443.843,-12163.15,512
0.125,-6456.346,-12164.8,512
0.1269531,-6463.861,-12167.11,512
0.1289062,-6469.956,-12163.6,512
0.1308594,-6458.723,-12148.47,512
0.1328125,-6456.941,-12151.77,512
0.1347656,-6471.995,-12158.99,512
0.1367188,-6485.246,-12169.07,512
0.1386719,-6491.241,-12159.52,512
0.140625,-6492.337,-12149.49,512
0.1425781,-6487.784,-12162.69,512
0.1445312,-6484.881,-12160.32,512
0.1464844,-6492.168,-12164.89,512
0.1484375,-6499.367,-12151.78,512
0.1503906,-6507.761,-12147.76,512
0.1523438,-6504.826,-12137.74,512
0.1542969,-6505.591,-12146.84,512
0.15625,-6507.898,-12154.41,512
0.1582031,-6516.959,-12159.67,512
0.1601562,-6509.292,-12160.85,512
0.1621094,-6495.27,-12162.38,512
0.1640625,-6501.954,-12204.04,512
0.1660156,-6498.01,-12203.6,512
0.1679688,-6489.709,-12185.61,512
0.1699219,-6499.155,-12157.8,512
0.171875,-6519.584,-12120.47,512
0.1738281,-6527.068,-12135.71,512
0.1757812,-6514.851,-12152.68,512
0.1777344,-6514.621,-12165.92,512
0.1796875,-6512.409,-12170.21,512
0.1816406,-6502.634,-12142.91,512
0.1835938,-6508.056,-12120.57,512
0.1855469,-6524.46,-12153.88,512
0.1875,-6511.987,-12162.25,512
0.1894531,-6518.09,-12148.07,512
0.1914062,-6519.154,-12147.09,512
0.1933594,-6507.288,-12131.66,512
0.1953125,-6517.392,-12136.2,512
0.1972656,-6524.932,-12140.28,512
0.1992188,-6518.753,-12133.28,512
0.2011719,-6516.775,-12145.55,512
0.203125,-6515.203,-12146.57,512
0.2050781,-6519.291,-12159.37,512
0.2070312,-6507.83,-12153.58,512
0.2089844,-6502.911,-12150.67,512
0.2109375,-6508.584,-12157.46,512
0.2128906,-6501.126,-12153.06,512
0.2148438,-6502.306,-12154.83,512
0.2167969,-6504.334,-12152.59,512
0.21875,-6506.245,-12151.96,512
0.2207031,-6508.407,-12150.4,512
